object_type,n,k,trial,instance_seed,r,rho,hidden_line_count,approx_lines,exact_lines,line_count_ratio,exact_match,approx_runtime_seconds,exact_runtime_seconds,candidate_lines,graph_nodes,graph_edges,exact_candidates,exact_combinations_checked,maximum_realised_distance
point,6,2,0,1858343886,1.5,nan,2,2,2,1.0,True,7.158308289945126e-05,0.00010016700252890587,6,6,5,14,44,1.1983937244349079
point,6,2,1,88567952,1.5,nan,2,2,2,1.0,True,5.716702435165644e-05,9.437499102205038e-05,8,8,6,13,84,1.2183714527165517
point,6,2,2,38487837,1.5,nan,2,3,2,1.5,False,5.470809992402792e-05,9.258405771106482e-05,7,7,5,13,89,1.0658228448553668
point,6,2,3,376155260,1.5,nan,2,2,2,1.0,True,4.216702654957771e-05,8.570810314267874e-05,4,4,3,18,23,1.451944259602195
point,6,2,4,1126509584,1.5,nan,2,2,2,1.0,True,4.870793782174587e-05,9.27080400288105e-05,7,7,6,14,67,1.2398254089328145
point,6,2,5,521231643,1.5,nan,2,2,2,1.0,True,4.833401180803776e-05,9.529106318950653e-05,7,7,5,16,76,1.3399263847215703
point,6,2,6,134167488,1.5,nan,2,2,2,1.0,True,4.2291940189898014e-05,9.612494613975286e-05,5,5,4,16,50,1.247444436873952
point,6,2,7,1002965607,1.5,nan,2,2,2,1.0,True,4.812504630535841e-05,9.191606659442186e-05,5,5,4,14,46,0.4749141743845704
point,6,2,8,2010061541,1.5,nan,2,3,2,1.5,False,4.39169816672802e-05,8.816702757030725e-05,6,6,5,15,46,1.3813219739677525
point,6,2,9,2070446806,1.5,nan,2,3,2,1.5,False,4.8208050429821014e-05,9.483296889811754e-05,7,7,6,15,89,1.4391884947411508
point,6,2,10,801501768,1.5,nan,2,3,2,1.5,False,4.812504630535841e-05,9.154202416539192e-05,7,7,6,14,98,1.4942617522647943
point,6,2,11,373378734,1.5,nan,2,3,2,1.5,False,4.325003828853369e-05,8.775002788752317e-05,8,8,5,13,41,1.2700465371068361
point,6,2,12,2084129078,1.5,nan,2,3,2,1.5,False,4.329101648181677e-05,8.750008419156075e-05,8,8,6,15,47,1.392525334993021
point,6,2,13,1716299147,1.5,nan,2,3,2,1.5,False,5.24159986525774e-05,9.37500735744834e-05,9,9,6,15,103,1.4875809668760915
point,6,2,14,1515955831,1.5,nan,2,3,2,1.5,False,4.75830165669322e-05,9.724998380988836e-05,7,7,5,18,62,1.3650053929561707
