object_type,n,k,runs,mean_line_count_ratio,median_line_count_ratio,max_line_count_ratio,exact_match_rate,median_approx_runtime_seconds,median_exact_runtime_seconds
disk,6,2,15,1.1333333333333333,1.0,2.0,0.8,5.837494973093271e-05,0.00010358297731727362
disk,6,3,15,1.3,1.5,2.0,0.4666666666666667,4.9208989366889e-05,8.979195263236761e-05
disk,8,2,15,1.4666666666666666,1.5,2.0,0.26666666666666666,5.083298310637474e-05,0.00011516700033098459
disk,8,3,15,1.3111111111111111,1.3333333333333333,2.0,0.4,5.000003147870302e-05,0.00011575000826269388
disk,10,2,15,1.4333333333333333,1.5,2.0,0.26666666666666666,5.554105155169964e-05,0.00014570809435099363
disk,10,3,15,1.3111111111111111,1.3333333333333333,2.0,0.4,5.51670091226697e-05,0.0001717080594971776
point,6,2,15,1.2666666666666666,1.5,1.5,0.4666666666666667,4.812504630535841e-05,9.27080400288105e-05
point,6,3,15,1.422222222222222,1.5,2.0,0.2,5.1166978664696217e-05,0.00010312499944120646
point,8,2,15,1.4666666666666666,1.5,2.0,0.3333333333333333,4.924996756017208e-05,0.00012516591232270002
point,8,3,15,1.3888888888888888,1.3333333333333333,2.0,0.26666666666666666,5.695794243365526e-05,0.00018741702660918236
point,10,2,15,1.4666666666666666,1.5,2.0,0.26666666666666666,5.1875016652047634e-05,0.000153415952809155
point,10,3,15,1.3777777777777778,1.3333333333333333,2.0,0.2,4.9791065976023674e-05,0.00022020796313881874
