object_type,distribution,n,repeat,instance_seed,k,r,rho,runtime_seconds,wall_time_seconds,selected_lines,candidate_vertical_count,candidate_horizontal_count,graph_nodes,graph_edges,matching_backend
point,uniform,100,0,2104521678,25,2.0,nan,0.000259083928540349,0.00029562495183199644,25,25,26,51,95,builtin
point,uniform,100,1,1615704261,25,2.0,nan,0.00023925001733005047,0.00027241697534918785,25,25,25,50,94,builtin
point,uniform,100,2,658306638,25,2.0,nan,0.00024524994660168886,0.0002828750293701887,24,25,24,49,93,builtin
point,uniform,100,3,1072945168,25,2.0,nan,0.0002042090054601431,0.00023591704666614532,25,25,26,51,87,builtin
point,uniform,100,4,1164543749,25,2.0,nan,0.00021862494759261608,0.00025058304890990257,25,25,26,51,95,builtin
point,uniform,100,5,921901717,25,2.0,nan,0.0002095840172842145,0.0002407499123364687,25,25,26,51,95,builtin
point,uniform,100,6,1704430933,25,2.0,nan,0.0002097500255331397,0.000242499983869493,25,25,25,50,95,builtin
point,uniform,250,0,965106114,25,2.0,nan,0.00047512503806501627,0.0005325420061126351,26,26,26,52,208,builtin
point,uniform,250,1,687729598,25,2.0,nan,0.0004125830018892884,0.00046212493907660246,26,26,26,52,204,builtin
point,uniform,250,2,78595689,25,2.0,nan,0.00040791695937514305,0.0004602500703185797,26,26,26,52,205,builtin
point,uniform,250,3,829314815,25,2.0,nan,0.0003952080151066184,0.00044295890256762505,26,26,26,52,198,builtin
point,uniform,250,4,243243636,25,2.0,nan,0.00041670806240290403,0.00046324997674673796,26,26,26,52,210,builtin
point,uniform,250,5,834274627,25,2.0,nan,0.0003595000598579645,0.0004029580159112811,26,26,26,52,207,builtin
point,uniform,250,6,1657271367,25,2.0,nan,0.00047604204155504704,0.0005294999573379755,26,26,26,52,206,builtin
point,uniform,500,0,1622299939,25,2.0,nan,0.0010464160004630685,0.0011407090350985527,26,26,26,52,343,builtin
point,uniform,500,1,1955768060,25,2.0,nan,0.0007179999956861138,0.001085250056348741,26,26,26,52,359,builtin
point,uniform,500,2,2129507801,25,2.0,nan,0.0006704169791191816,0.0007460000924766064,26,26,26,52,351,builtin
point,uniform,500,3,1911659420,25,2.0,nan,0.0006545420037582517,0.0008336659520864487,26,26,26,52,359,builtin
point,uniform,500,4,1474364817,25,2.0,nan,0.0006860829889774323,0.0007627500453963876,26,26,26,52,361,builtin
point,uniform,500,5,341611586,25,2.0,nan,0.0006857080152258277,0.0008591669611632824,26,26,26,52,351,builtin
point,uniform,500,6,953025717,25,2.0,nan,0.0006700829835608602,0.0007465420057997108,26,26,26,52,349,builtin
point,uniform,1000,0,2055734281,25,2.0,nan,0.001431583077646792,0.0016100839711725712,26,26,26,52,520,builtin
point,uniform,1000,1,308025863,25,2.0,nan,0.0012772500049322844,0.0014145829482004046,26,26,26,52,502,builtin
point,uniform,1000,2,302511912,25,2.0,nan,0.001251916983164847,0.0013993330067023635,26,26,26,52,501,builtin
point,uniform,1000,3,1102026130,25,2.0,nan,0.0012182919308543205,0.0013512499863281846,26,26,26,52,509,builtin
point,uniform,1000,4,1038584456,25,2.0,nan,0.001243207952938974,0.001383375027216971,26,26,26,52,513,builtin
point,uniform,1000,5,1282350959,25,2.0,nan,0.0013056249590590596,0.0014465410495176911,26,26,26,52,512,builtin
point,uniform,1000,6,975357208,25,2.0,nan,0.001295457943342626,0.0014480000827461481,26,26,26,52,525,builtin
point,uniform,2000,0,2033995946,25,2.0,nan,0.002738041919656098,0.0029726249631494284,26,26,26,52,633,builtin
point,uniform,2000,1,1348250059,25,2.0,nan,0.0022582500241696835,0.0024854170624166727,26,26,26,52,630,builtin
point,uniform,2000,2,1712606600,25,2.0,nan,0.0024069170467555523,0.002668792032636702,26,26,26,52,642,builtin
point,uniform,2000,3,541157253,25,2.0,nan,0.0025369999930262566,0.0027900419663637877,26,26,26,52,620,builtin
point,uniform,2000,4,41616569,25,2.0,nan,0.002345415996387601,0.0025566250551491976,26,26,26,52,625,builtin
point,uniform,2000,5,1407193933,25,2.0,nan,0.0021254169987514615,0.002339540980756283,26,26,26,52,633,builtin
point,uniform,2000,6,836681230,25,2.0,nan,0.0023055829806253314,0.0025502090575173497,26,26,26,52,632,builtin
point,uniform,5000,0,1651767914,25,2.0,nan,0.006225958000868559,0.007020333083346486,26,26,26,52,673,builtin
point,uniform,5000,1,1225871378,25,2.0,nan,0.0060705830110237,0.006905999965965748,26,26,26,52,672,builtin
point,uniform,5000,2,1666341041,25,2.0,nan,0.005573000060394406,0.006364375003613532,26,26,26,52,675,builtin
point,uniform,5000,3,882906600,25,2.0,nan,0.005620541051030159,0.006147417007014155,26,26,26,52,675,builtin
point,uniform,5000,4,450858847,25,2.0,nan,0.005432332982309163,0.006200916948728263,26,26,26,52,671,builtin
point,uniform,5000,5,1029632131,25,2.0,nan,0.005445749964565039,0.00654533295892179,26,26,26,52,675,builtin
point,uniform,5000,6,748985018,25,2.0,nan,0.006320249987766147,0.007555166957899928,26,26,26,52,673,builtin
point,clustered,100,0,2124063761,25,2.0,nan,0.0002571670338511467,0.00029670807998627424,8,12,8,20,51,builtin
point,clustered,100,1,773375775,25,2.0,nan,0.00028837507124990225,0.00033133395481854677,9,12,9,21,53,builtin
point,clustered,100,2,406971544,25,2.0,nan,0.00017970800399780273,0.0002163749886676669,10,11,11,22,53,builtin
point,clustered,100,3,662758633,25,2.0,nan,0.00018554204143583775,0.00022849999368190765,12,12,14,26,52,builtin
point,clustered,100,4,12998047,25,2.0,nan,0.00033075001556426287,0.000376374926418066,12,14,15,29,67,builtin
point,clustered,100,5,1828277755,25,2.0,nan,0.0001866660313680768,0.00021791690960526466,12,12,13,25,57,builtin
point,clustered,100,6,1565944567,25,2.0,nan,0.00016658403910696507,0.00019758299458771944,13,14,15,29,66,builtin
point,clustered,250,0,1072718037,25,2.0,nan,0.0003499580780044198,0.0003940419992431998,15,18,15,33,99,builtin
point,clustered,250,1,342071152,25,2.0,nan,0.00031191599555313587,0.00035991694312542677,13,16,13,29,86,builtin
point,clustered,250,2,1946469728,25,2.0,nan,0.0002959580160677433,0.00033620791509747505,13,13,15,28,86,builtin
point,clustered,250,3,557773382,25,2.0,nan,0.00030683400109410286,0.0003482499159872532,15,15,17,32,96,builtin
point,clustered,250,4,1503950436,25,2.0,nan,0.0003428749041631818,0.00039120903238654137,18,19,20,39,106,builtin
point,clustered,250,5,1942248924,25,2.0,nan,0.00035516603384166956,0.00040358398109674454,17,19,17,36,103,builtin
point,clustered,250,6,308329627,25,2.0,nan,0.0003261660458520055,0.00037304102443158627,15,16,15,31,83,builtin
point,clustered,500,0,1497235418,25,2.0,nan,0.0005625829799100757,0.0006550000980496407,15,15,23,38,131,builtin
point,clustered,500,1,1601360550,25,2.0,nan,0.0005793330492451787,0.0006557499291375279,15,15,20,35,120,builtin
point,clustered,500,2,1877247897,25,2.0,nan,0.000810749945230782,0.0008883330738171935,17,17,19,36,126,builtin
point,clustered,500,3,1871955872,25,2.0,nan,0.0006106250220909715,0.0007004169747233391,11,11,19,30,111,builtin
point,clustered,500,4,316936542,25,2.0,nan,0.0005770419957116246,0.0006483340403065085,13,13,13,26,96,builtin
point,clustered,500,5,1048999296,25,2.0,nan,0.0006437089759856462,0.0007158750668168068,11,11,19,30,104,builtin
point,clustered,500,6,161444493,25,2.0,nan,0.0007424169452860951,0.0008261670591309667,14,16,14,30,131,builtin
point,clustered,1000,0,1042367263,25,2.0,nan,0.00126466597430408,0.0014255419373512268,18,20,18,38,135,builtin
point,clustered,1000,1,1850381333,25,2.0,nan,0.0011829579016193748,0.0013300830032676458,17,17,22,39,142,builtin
point,clustered,1000,2,270245435,25,2.0,nan,0.0011462500551715493,0.0015738749643787742,19,22,19,41,165,builtin
point,clustered,1000,3,1217567758,25,2.0,nan,0.0010125830303877592,0.0011254999553784728,15,15,19,34,158,builtin
point,clustered,1000,4,420975574,25,2.0,nan,0.0011602919548749924,0.0013213329948484898,17,22,17,39,148,builtin
point,clustered,1000,5,1812933345,25,2.0,nan,0.0011056669754907489,0.0012387089664116502,17,17,19,36,131,builtin
point,clustered,1000,6,1398797812,25,2.0,nan,0.0010994169861078262,0.0012293750187382102,18,18,20,38,152,builtin
point,clustered,2000,0,1681296125,25,2.0,nan,0.002318624989129603,0.0025407079374417663,17,17,22,39,180,builtin
point,clustered,2000,1,1448609214,25,2.0,nan,0.002211665967479348,0.0024305840488523245,12,19,12,31,149,builtin
point,clustered,2000,2,1095361140,25,2.0,nan,0.002208166988566518,0.00241033302154392,14,14,24,38,183,builtin
point,clustered,2000,3,782636394,25,2.0,nan,0.0020079580135643482,0.002226457931101322,12,12,14,26,99,builtin
point,clustered,2000,4,1434738439,25,2.0,nan,0.002100125071592629,0.0022607919527217746,17,17,21,38,187,builtin
point,clustered,2000,5,511799614,25,2.0,nan,0.0016298749251291156,0.0018018329283222556,12,12,20,32,142,builtin
point,clustered,2000,6,1368919101,25,2.0,nan,0.0018132909899577498,0.0019877500599250197,20,23,20,43,190,builtin
point,clustered,5000,0,1523258713,25,2.0,nan,0.005317874951288104,0.00580929103307426,14,19,14,33,153,builtin
point,clustered,5000,1,2025460295,25,2.0,nan,0.0041553330374881625,0.00458570895716548,13,19,13,32,160,builtin
point,clustered,5000,2,2096719325,25,2.0,nan,0.005980625050142407,0.006536375032737851,21,22,22,44,189,builtin
point,clustered,5000,3,167843998,25,2.0,nan,0.004426541039720178,0.004968499997630715,15,15,22,37,182,builtin
point,clustered,5000,4,1999151679,25,2.0,nan,0.004954540985636413,0.005345583078451455,16,16,20,36,169,builtin
point,clustered,5000,5,704007027,25,2.0,nan,0.005594874965026975,0.0062542499508708715,15,26,15,41,224,builtin
point,clustered,5000,6,524328035,25,2.0,nan,0.004819207941181958,0.005268624983727932,16,16,23,39,186,builtin
disk,uniform,100,0,1458289768,25,2.0,0.8,0.0002163749886676669,0.00026162504218518734,18,19,18,37,82,builtin
disk,uniform,100,1,36201641,25,2.0,0.8,0.0001753339311107993,0.00021070905495435,19,19,19,38,86,builtin
disk,uniform,100,2,383677226,25,2.0,0.8,0.00016249995678663254,0.00019724993035197258,18,18,18,36,86,builtin
disk,uniform,100,3,474728755,25,2.0,0.8,0.00016075000166893005,0.00019420904573053122,18,18,19,37,85,builtin
disk,uniform,100,4,1843998808,25,2.0,0.8,0.0001729580108076334,0.00020658399444073439,19,19,19,38,88,builtin
