object_type,distribution,n,repeats,mean_runtime_seconds,median_runtime_seconds,stdev_runtime_seconds,mean_graph_nodes,mean_graph_edges
disk,clustered,100,7,0.00018322030414960215,0.0001770419767126441,2.0289528140678514e-05,23.428571428571427,43.0
disk,clustered,250,7,0.0004117262516436832,0.0003449579235166311,0.0001962569373167616,24.142857142857142,63.142857142857146
disk,clustered,500,7,0.0007411605578714184,0.0005198329454287887,0.00038162168033607037,24.714285714285715,72.71428571428571
disk,clustered,1000,7,0.0018601726707337157,0.0014577079564332962,0.0008411498181701095,27.142857142857142,87.28571428571429
disk,clustered,2000,7,0.0038478690133030924,0.004719458054751158,0.0013695650827487617,29.428571428571427,97.71428571428571
disk,clustered,5000,7,0.01103327386746449,0.011151332990266383,0.003362325843659636,28.142857142857142,114.42857142857143
disk,uniform,100,7,0.00018371428762163435,0.0001753339311107993,2.448111220213811e-05,37.0,85.71428571428571
disk,uniform,250,7,0.00042869644572160074,0.0004240840207785368,1.425421790738727e-05,38.0,177.14285714285714
disk,uniform,500,7,0.0006646545703655907,0.0005930420011281967,0.0001661199886070889,38.0,262.42857142857144
disk,uniform,1000,7,0.0010225657107574599,0.0010034170700237155,0.00013422166764107354,38.0,324.42857142857144
disk,uniform,2000,7,0.002622083394921252,0.002156791975721717,0.0012924986212131527,38.0,354.2857142857143
disk,uniform,5000,7,0.0093587736898501,0.009735791012644768,0.0027744597234004567,38.0,360.85714285714283
point,clustered,100,7,0.00022782746236771345,0.0001866660313680768,6.412024478081663e-05,24.571428571428573,57.0
point,clustered,250,7,0.0003269818677966084,0.0003261660458520055,2.298878000524317e-05,32.57142857142857,94.14285714285714
point,clustered,500,7,0.0006466369876371962,0.0006106250220909715,9.473705478081668e-05,32.142857142857146,117.0
point,clustered,1000,7,0.0011388332682794758,0.0011462500551715493,7.841035855926999e-05,37.857142857142854,147.28571428571428
point,clustered,2000,7,0.0020413867064884733,0.002100125071592629,0.00024481592735440166,35.285714285714285,161.42857142857142
point,clustered,5000,7,0.0050355711386406,0.004954540985636413,0.0006435265862822479,37.42857142857143,180.42857142857142
point,uniform,100,7,0.00022653598404888595,0.00021862494759261608,2.1218874375262863e-05,50.42857142857143,93.42857142857143
point,uniform,250,7,0.0004204404540359974,0.0004125830018892884,4.216012354114031e-05,52.0,205.42857142857142
point,uniform,500,7,0.0007330355666843909,0.0006857080152258277,0.0001395965382822785,52.0,353.2857142857143
point,uniform,1000,7,0.0012890475502769863,0.0012772500049322844,6.983047047194393e-05,52.0,511.7142857142857
point,uniform,2000,7,0.0023880892799102832,0.002345415996387601,0.00019978279602229213,52.0,630.7142857142857
point,uniform,5000,7,0.005812630722565311,0.005620541051030159,0.0003804833107402704,52.0,673.4285714285714
